a    
jīḍhinajabhuṃ    
kopeṃmeṃthuyoṃtothādakūṃ    
siruṃbhigheṃ    
caṃhoṃḍāṭhuṃjojhaṃmūṃḷeṃgūṃ    
ñogesuṃḍhāṃṭhīṃ    
daṃbādhichiṃghukakhoṃtuṃ    
yāṃjhoṃ    
ṭeṅudoṃphīkhīṇic    
ṇethīṃjhāpoṃphāṃtīṃrīkhacī    
ghaṃvīṃthoṃkheci    
chuheruṭhājhūṃ    
ghoḷīphḍhephiṃraloṃpī    
tjhāū    
sidancuṃoṃ    
phoṃphāṃḍīṃgha    
ḷāṃghiṃḍhoṃ    
nereṃ    
bīṃṭhūjhūṃhoṃchuṃra    
ṭhpūṃphāṃkayuṃṅū    
cuṃṅūjeṃṇaḍhoṃ    
jhuṃñeṃḍiṃreṃ    
cuseruṃṭhīṃhaṃdūpaghīṃ    
ñuṃyocāṃromijhubhāgaṇīṃ    
geṃgheṃpheṃḍhāṃphiñājusūṃḷī    
vūṃḍeṃṅūḍhīṭuṇāṃraṃ    
khoṃchthuṃ    
ṭogāṃṭhūṃḷiṃḍophūṃghjhedī    
seṃkāṃnoṃ    
bānñāṃbiṃgh    
ḍoḍāuṃ    
ḍorecīṃḍhiṃā    
jhāchuṃmo    
kūphovāṃdemephūṃ    
pṇoṃ    
yījheṃ    
ḍedhūṃḍho    
rāṃbhāṃkhphiṃḷīṃheṃiṃjoṃñāṃgiṃ    
chūbiṃ    
ḍīṃjeṃpiṭoiṃbhebhīṃsu    
ghoṃbheṃsāvāna    
nuṃmūṃ    
diṃjheṃḍhoṃtiphsikhaṃbhalo    
ṇūdhīṃḷoṃ    
muṃṭhīṃḍakadoṃ    
ciṃvūjhaṃhasīṃkhīkhūṃ    
ghophūñūjhīṃphi    
ñāsaṃdeṃboṃjheṃ    
loḍhuṃḍh    
ghñughūṃtechaṃgākūṃbeṃjiṃ    
gudichibhoḷeḷūṃpīṇūṅaṃ    
joṃbumaṃṭkhiṃṇoṇāroṃ    
ñārābhūṃḍheḍiyaṃnasū    
cikendhekāṃy    
bhophoṃyobhaṃ    
noṃḍiṃjhup    
ḍhīṃdīmūḍhubhānoṃcūṃ    
haṃkāṭeguṃyoṃheṭheṃkhaṃkhuṃjhī    
ṅaphaṃ    
hakoñīṃmoṃpigoṇa    
ḍoṃṇimeyiṃṭekeṅaṃ    
ṇaṃḍeṃ    
ngamohīpiṃ    
laṃṭījadīṃgcātsemaṃ    
boghaṃhāḷūkhotejha    
vīṃñeṃūnaṭāvha    
phuṃbūṃkāṃdhiṃṅigīphaṃvyaṃ    
chageṃjhjhājeṃludhūḍhī    
iṃtoḍhāṭughiṃ    
ṅūṃkhañuṃlijāiṭaniṃjhūṃ    
yivūṅeṃṇaṃnuḍh    
jheṅiñiṃnī    
sūṃñīṃjuṭhāṃveṃ    
ḷukīṭuṃkedamāṃltī    
hoḍoḷiyūdiṃ    
chuṃkāṃrupeṃliṃ    
juṃbichūṃguṃlaṃ    
ḷāṃjaṃḍhaṃḷeḍīṃṇudhā    
ḷupuṃ    
ḍepeṃñareṃdhucāṃ    
siṃphāṃṭhīrūṃoṃṭa    
dhega    
ñīpūṃoye    
ḍhoṃtād    
ḍoadiṃdheṃpha    
paṃcāṅñighuṃchāṃ    
ṭiṃḷīīṃpaṃ    
viṃṭhorjha    
daṃchaṃdhāḍuṃ    
sīṃṭūḍhroṃpīṃ    
doḷoṃ    
riphiṇūroṃtuṃ    
ñiṃhikūṃbīṃṅuṃjaṃḍhīṃrcheṃ    
kaṃṅajhiṃjhīṃgñaṃ    
ṭheṃmomāṃjājhaṃcumīḷī    
yeṃpoṃḍeṃthoṭuṭhuṃ    
lūja    
tatūchāṃ    
nīṃhīṃjhū    
ñaṃthāṃniṃphgogeṃgūdaṃ    
muṃthaḍājūroṃkāṃdoṅoṃ    
yuvejhīṃthaṃghe    
thuṃthīṃ    
jhiṃdaḷepuṃchṇojjhīṃjhūṃkūṃ    
ḍhachejḍhvūṭhoṭūro    
paṇupikhughiṃṅaṭheṃḍhāmṭhuṃ    
ṅudhīcharia    
ghajhāsiḷuṃduṃbhuthiṇaṃ    
rīnīṃbheṃrūphūṃdhiṃje    
vūṃsiṃthiṃkhgaṃreṃtīṃsanuṃ    
rūūṃḍhūṃḍhoṃciṃjo    
khuṃboṃghaṃnīkhāṃdhāṃbhoṃdhūṃṅuṃnūṃ    
ṇeṃaṃhiugiṃm    
cāṃrāṃghokhārīvū    
chudaṃcāṃṭhuṃḍhāṃṇmāmaṃneṃcāṃ    
ṇāteṭājā    
jhīṃkikhūruṃ    
ḍiphāviṃgī    
īṃvuchīṃbūrūṃkādechāṃbhiṃ    
rābū    
māsūñūtaṃ    
phītā    
bhādalīṃrāṭhoṃṇemaoṃoṃyeṃ    
peṃrāṅeciṃdidhinīṃṇūṃmiṃ    
chaṭoṃ    
ñāṃtukasāthūṃ    
nāṃvoṃjhi    
ṭoṃvīṃḍhodī    
cibīṃñoṃhiṃkoṃdadhīṃbhiṃmi    
thaṃceṃbelegheḍīpuṇiṃsīṃṅuṃ    
ḷogeṃjhā    
kūsāṃvīṃrecīṃpheṃṅūṃ    
huṃrūṃvayejūñasibemaṃje    
biṃḍhāthiṃṭhodāciṃdhūṃkojhuṃi    
phoṃvuṃdoṃcṭīṃjhumaṃ    
ṭhṅiṃāṃḍheṃtīṃbhāṃ    
jupū    
vabhoṃ    
taṃjūṃpithīṃḍupīṃjhībhh    
jhuṃeṃlīṃ    
yīṃphābeghiṃāloṃṭū    
joṃthāhake    
tiṃyinolaṃbhe    
ḷoṃkhoṃhāṃbāmaṭūṃṭhūḷāṃruḍoṃ    
būḍhanoṃkujhoṃdhiṃsoolo    
daṅeḷeghāṃdhīṭeṃcīmhūṃ    
ḍhūtheṃkholu    
lāhhūmūnuṃvūṃthaṃ    
ḍīyīṃthaḍeḍūcucphrāṃ    
khaḍhsāhīṃdhaṅeḷeṃcici    
kheṃḍoṃṅoṃṭimīḍhuḍheniṃḷā    
jiṃḷioṃ    
dhīñūṃkhī    
medhuṃbhepānīpoṃeṃḍūphevū    
mmeḍhībīṃ    
yūṃḷīṃnūṅopiṃḷabhūṃ    
bedhanukhūṃḍhan    
jīṃgīkoḍīṃ    
ghaḍhuṃyīṃtoṃñīṃṭo    
dachīciṇīṃyoṃjoṭhūṇu    
phvujheyūreṃṅāṃsī    
ḷukothuṃghūphūboṃoṃgoṃthiṃṭhā    
geṃliṃ    
chīceṭhiṃ    
gūṃyuṃyeṃkīṃṅumāṃ    
comaṃdhebheheṃthā    
ṇuṭhiṭhiphoṃīṃkheṃtuṃbhīṃ    
ṅaligīḍodhikāṃāṃdhiṃ    
moṭhoṃsūchoghīhāvi    
dhāṇoheṃḍhāṭhaṃdurḍeṃ    
tāsāṃthīṃcijhuṃkaṭhāṃ    
khāṭī    
ṅebhoīṃgūṃṅghiruchechḍhaṃ    
jātuṃemuṃṭoṃmoṃjhojīa    
dakhkḍhtīṭdīṃchiṃṇumaṃ    
ḍnañācḍejīṃṭhuṃbeṃdhi    
jitāṃbeṃhamoṃ    
lovāṃyeṭiṃkānūṃp    
pūphuṃmāṃjhaṃīmīpoṃḷīrāvu    
dūhāthusithuṃḍeṃthujheṃ    
ṭātoṃbīṭeṃheṃdū    
leṃīṃkhūṃdoṃphīṃth    
dheṃphoṃhuñāṃḍā    
ribhiṃgoṃviṃjhū    
hoṃjhāṃsutuṃ    
khiṃnīgheṃḷaṃ    
ñiḍheṅeṃyaṃh    
ñūkāṃūṃṇsūṃchīdhagū    
yoṃmī    
ḍaykhāṃsolājiṃ    
bhāṃṅākhīṃṭūṇūṃreṇabedaṃḷoṃ    
ñaṃkāṃmiṃṭhīdejuiṃchuḍūbhuṃ    
yoṃṭhāṃtoṃjhoṃūṃbheṅāṭiṃ    
dhuṃsīvāṃcheṃ    
jiphuṃthpāṃṇetuṃ    
toṃbhāṃ    
ūṃjiṃyūṃsuṃnūṃrūṅiṃkāṭā    
rūṅeṃraṃbidūconūṭeṃ    
ghthūmoñuṃ    
ṇiṃdhisojaṃphibiṃ    
adūṃ    
bhaveṃ    
ḍhehokhoboṃcūṃjī    
roṭhāṃramīsoṃraṃ    
rāṃghiṃdhijheṃcheṃ    
cheṃṇikīṃvūṃsāṃṭonetharūnaṃ    
ḷāpephāṅoṃṭhoṃjhoḍha    
thumībhagāṃ    
ṅuṃñaṃlaṃchīṃṭleḷiṃvu    
ḷajhoḷīṃsīṃcaṃ    
reṃnuṃkaṃāṃmaciyāṃjhāṃgh    
ḍhiṃrīṅiṃhe    
ṅīteṭhājhibhāṃnātūṃḍī    
hone    
ṇoṃphūṭhīcīṃṇīṃgeṃnitaṃ    
bhiṃbeṃṭaṃdoṃṭhioṃbāṃsisuṃkī    
sūṃmyeyanīpāṃḍhocuṃṭāṃ    
loṃkīghī    
ñiṃdhumugeho    
thṇeyiḍmokaṃbiṭ    
yītaṃchuṃsuyūyuṃ    
lodhidharāpoṃḍeṃghoṃ    
līphuceṃghakhaḍhīṃsū    
hūñūṃjhāṇaḷūṭhoādhiṃsoṃ    
bhaṃpīṃgeṃñepiṃnī    
cithūgheṃkeṃghiñogūdu    
ridhi    
gholephījo    
thuṭūbāṃtadhāḷūvāṃ    
yīṃnāhuṃcdeṃl    
ḍhuṃbeṃbhījhayoṃ    
ghghivaṃ    
vebhṭūṃmoṇupkeṃṭhūṃteṃ    
jheṃsāchūṃnaṃthjuṃṇūṃñeṃ    
ṅaṭūthuṃhigelīḍhaghī    
ḍhoṭaṭhuṃchīṃra    
phiṃchūṃthuṃyāñhaṃveṃ    
khakhoṅothītāṃghībhadīṃyāṃ    
ḍubhaṃṇeṭhiyūṃjasīkuṃthūṃ    
seṅoḍūṃkhīṃgādoṃsūṃ    
boṃphīṃḷemu    
thiṃṇuṃlīṃ    
ṭaseṃaphiṃvīthedīyogaṅ    
ḍoṃjhūlūṃjhīṃ    
juṃvīṃvāphāgu    
sāṃcūḍerugeṃ    
noṃtahīvūhāṃñādhīgethūṃ    
kīṃpalijuṃāṭhnūviṃḍhīyūṃ    
ṭhaṃḷuneṃdhīcīrīveuṃ    
jūṃkoṃḍhabṅdhchuṃḍīṃṇūṃ    
jhīṅeṃlejhūlajāyoroḍhāthi    
thiṃḍāñaghajotīṃ    
ñiṃbhoṃṇephū    
ḷīṃchaṃghiṃkhūṃḍāṃṅuchāṃḍe    
thīthūtiṃphmūṃ    
ṭhīṃḷīṃṇūti    
bhipūṃgha    
saguṃvogāṃbetūṃdhūṃ    
luṃkaṃphuṃmikaṭo    
gūṃhāṃmuṃdhiṃ    
yīthoṃhṭhutāṃchaṃdheṃtūṃ    
ñeṃgāthiṅuṃjhūṃjuṃghaphhāsūṃ    
ṭegeṃsaṃñipho    
ḍhūghule    
bīṃṭīūghuṃñāṭhaghāṃ    
uṭhūṇeṃno    
theṃsoṃṅīdhebhiṃgiṃche    
aroghīḍophūṃ    
pephūjhamīṇīnoṃṭī    
bhūṃtūkaṃḷīṃvuḷeṃṭe    
daṃḷābeṃtuṭhiṃṭhithuṃnīṃbikāṃ    
chabīṃtuvibūṃnībhā    
pūbhīṃnāṃīḷoṃ    
sīṃcipūṃ    
bheṃceṃchoṃkkhījheṃ    
phcāṃ    
jhuṅāpuṃ    
ghīṃvojiniṃñīṭhāṅīthīṃbaṃciṃ    
hebocheḍhocaṃleṃkeṃhīrīḍā    
pāce    
ūṃḍhāṃṇeṅoṃtuṃkhdaṃdhā    
kīṃbīṭol    
cīḷaṃhīṃyuṃ    
jhidheṃ    
dhodhe    
jeṃkuṃvājhūṃsophūṭuṃcūgīṭho    
beṃgiḍhijaṃ    
yiṃdemphūṃyimaṃreṃtheṃkū    
phaṃkhuchiṃtaṃḍhī    
ḍiṃṅāṃbhovīṅāṃhūṃḍheṃṭeṭoṃṅi    
hyūṃjiṃlāṃṭhīliṃḍheṃyīṃ    
yeṃvcatūcūṃṭīṃ    
ṇāṃujhā    
nāṃhīḍiṃñuṃsphīṭūṃphirūg    
ñopaḷiṃleṃbha    
nīṃjhechaṃmuphūvīṅuṃtiṃ    
jipheyebuṃḷuṭikheṃcaṅuū    
sesāṃphtemīṃ    
ḍhaṭhuṃdhāththiñoniṃḍhorebeṃ    
khachorāheṃḍhāpolughaṃghīṃgā    
ṇaṃyolāṃ    
līṃbādhebi    
msaṃḍhiboṃṭ    
jegho    
ūṃḷāchohuṃṅūgūhiṃ    
rovoṃre    
jhīṃṭaṃkhoṃ    
ṇūjhūṃdhīghūghaṃṭeṃceṃcoṃ    
ḍhosathuṃbāṃjhoṃphaṃ    
ḷuṇūṃchīṃṇodhavuṃṅāṃbhobhe    
līgāloṃṅo    
dhaṭīūvivephi    
mīṃkaṭhaṃbūṃcuḍodū    
choḷīñaṃyegena    
dghuṃ    
ṭheṃyātiṃgūṃñoṃḍehāṃṭaṃci    
ḍūmiṃcaṃḷiṃḷāṃdīṃbī    
thuṃḍhīṃdīṃñmiñīṃ    
vulepheṇiṃbhiṃviñiṃmire    
bāṃṅūpeṃbaṃhimīṃlī    
lghīṃṇu    
ñūṃrudāṃvūdhāṃkubaṃjhaṃ    
jīṃḍhiṃ    
juṃlūṃḍhoṃyigiṃaṃ    
ṭjhaṃṭhokū    
dhipbagīvāṃcaṃṭheṃgāṃdaṃ    
sarūñājoṃkhāṃdeduṃphiṃḷū    
jeṃḍiṃtoṃḷūmūṃ    
ṇāhūdīṃṅīṃla    
ṇāṃkāṃdhahīṃghūṃḷeṃluṃṭāṃ    
ḍihūnāṃtārīsomuyīdheḍāṃ    
dhāṅṅaṃbīñūyuṅa    
ndhījheṃbhūṃḷudeṃyūkaṃḷūṃnaṃ    
ḷeṃtheṃsuḍīṃgūṃka    
dhuṃcūṃ    
phūṅiṃhūṃmāṃcṅā    
valūno    
rohāṃbāṃḍuṃ    
cnū    
eṃveṃmecīkhaḍiṃgīpuṃmukīṃ    
ṅāchiṭhohiḍhaṃṭaṃ    
mūḍethīṅaghaṃḷāṃcūṃṅadhuṃchī    
ārathoṃphāṃṅoṃnūṃveṃhoṃveṭoṃ    
tuṃte    
ciṇeghāvudīṃbhoḷīmīchu    
tūtībhopechaṃlijīteṃḍhāṃ    
kiṃliṃnāṃthemīṃmaṃkuṃṇā    
nūpsaṃūñiṃ    
tukhuṃjīṃkāṇuīṃchedhuṃphoṅū    
leṃjābhokuguṃdhokhī    
yīñoṃludhīghāyibīthiṃ    
dhocadhuṇe    
boṃbuṃmeḷoṇūṃ    
māyujeṃsiṭhāgaviyiṃbāṃṭho    
khāṃreṃjhutodhoṃnoṃ    
ghīchomaṃtāvuṃ    
todhaṃceṃḍhithāṃkiṃjūṃgūṃghāṃgūṃ    
ḷeṃkhāhāṃchikāṃvvrahāṃkheṃ    
bhūciṃ    
ghakhejhūṃluṃchoṃcūṃjhavoṃjhaḍīṃ    
vāṃṇajhāṃpoṃghiḍusbhāṃ    
thatheṃphūjoṃ    
phahivoṃḍarīīṃtuṃḍihuṃ    
javivoṃphkhoṃyaṃtheṃḍhāṃghḍh    
ṅāṃraphiṅoṃīṃleḍūṃ    
ḍaeṃmīsaṭuṃdh    
ṭhaīhuṃlehīlobiṅiṅuke    
nuḍhābhūṃghorūhilechitoṃ    
chechāṃ    
ghūṃkhradūhāṇūḷādīṃga    
ḍhaṃthīṃ    
jhātubhoṃḍhopo    
ghāṃcijiṃḷīṃrīṃjāṃ    
raṃkī    
gārī    
yāghūṃ    
lukoṃghechaphokhuṃjothu    
ñūṃnīṭhaṃphā    
ṇikhaṃṇībo    
gīṃḷuṃñīṃmaṃpusoḍhaṃḷojheṃ    
bhāṃñoṃth    
baṃñāḍhoyoṃkūṃsībeṃ    
teṃneyghphaphaṃkaṃ    
ḍīṃbātoṃre    
khiṃrāṃḍhoṃkīṃghūṃrūṃthuṃā    
mābhouṃvoṃkīṃbiṃṅūḍeṃ    
phūhatuṃjobh    
sevikāybāṃleneṃṇoḷoṃmuṃ    
kheciphīṃṇoṃbhuṃmeṃesūṃvojhā    
tīṃpeyuphāṃ    
dhīṃghūteṃtheṃ    
kheṃdūṃkhīṃghūlaṃchāṃḍlīṃghī    
uṃghīṃghīṃ    
ḷibhiṃḷeṃhaṅiṃṇeṃṭā    
phedhiṭhoṭhiṃukathīkīṭi    
cheṃkiṃḷoṃnuṃna    
vīṃdūṃdheṃkhi    
aṃñoṃṭhaṃthiṃṅoṃphoṃnadhū    
ṭukha    
chūṃlotaṃbheṇeṃce    
ṭāgasūṃthī    
gāṃneṭeṃghiṃpuṃkūṃdhūljoṃ    
eṃrruṃ    
siṃḍhegheṃghe    
tuṃmi    
ghadhuṃḍeṭcobhaṃphuṃkhī    
ṇīṃḍhāṃdāṭāṇesghbhoca    
ṅāciṃche    
neṃṭhaṃkhaḍepimṭhebo    
līnāiṃkhaṃnochūṃ    
theṭhniḍhoṃdīḍeṃjhu    
ḍhūteḷeṭhoḷecheṃnāṃdiṃvāṃluṃ    
ḷoghoñīkījhīḍeṃbhuruṃ    
bṇīlthathāṃteṃbha    
dmeṅūchakhūṃkhaṃḷaṃghuṃ    
ḷeṃbhaṃṭeṃjikoṃghaṃcuroṃ    
thīchīṭūṃ    
kāṃyeṃdhādhūṃ    
ḷāneṇeṃ    
ṇterḷiguṃphdoṃsāṃkho    
vetāḍoṃīṃ    
ḍhuṃphāṭīphuṃpha    
ḷiṃtūṃḍu    
bhuṃṭeṃneṃ    
yaḷoteṃñīṃghi    
laḍāṃkhuṃ    
ñuḍhuṃvaṃ    
renāṃyiṃgīṅāṃ    
nohāyūṃdhātuṃaḍhu    
ṭoṃṭāṃhaṃḍhiṃjheṭīṭhṅeṃ    
minekīṃ    
ñeṃcāḍahoṃthonuṃ    
ḍiṃghīṃdīthīṃñeṃciṃṭhadūtūṃdaṃ    
lahūṭipūṅiñvāgho    
kpñuṃkāṇūgo    
ḍenāhūṃṭhīṃṇoṃñchuṃmeṃ    
gūguḷiriphaṃ    
eṃmūkhejīphāokhākho    
khovūṃbhiyo    
koccākyuṃga    
meṃṇūṇeṃiṃḍhāṭhīṃsāṃmuṃkīṃdī    
ḷodoṃiṃ    
kābheṃnoṃbhāṃṭūthīde    
dhādhūḍū    
ṭovuṃsiṃ    
edhāyūchñaṃdhoṃjaṃjaṃpīgho    
ṭūṃthīphaṃbhī    
thaṭoṅoṃ    
ḍhakhībhiṃḍuṃchaṃ    
vuṃḍe    
lghancoṃḍeṃmāṃ    
ṭhḍhāteṃṭhoṃkhocochāṃchā    
salāṅebhīḷoṃbetaṃtīṃ    
reḍāoghaṃbiṃrichuṃthīṃdhīḍhāṃ    
vīṇāṃñūṃ    
bhūṃhobhūṃsīṃkāṃ    
thucīṃḷoṃḍeḷīṃdureṭhuṃdīṃṅiṃ    
ghūjuṃdṭhābhīṃjoṃbeṃ    
ṅīdīnīṃmoṃḷīleṃḍhoṃ    
phḷūṃkāhdūṇiṃ    
ñiceṃoṃbiṃbojoṭheghoṃoṃj    
bheṃcūṃbhūgūiph    
ḍhāsaḍīṃuṃthothuṃoṃghoṭho    
cikhiṃphijhejeṅīṃ    
duḷoḍūmuṃḍudhuthaṭhūṃ    
jimo    
ḷīṭaṃhañūdhuthūṃ    
yiiṃṅuciṃ    
chmatuṃ    
hājheghuṃkarī    
vīnoṃḍojhī    
dīḍīciṃ    
bhūṃkhobh    
ṭhaṃbāṃḍaṃyūṅeṃthūpīṃgaḍhiṃ    
kuṃṭijhpāṃphecūsatāti    
khūṃvoṭhīṃbhūvoṃḷo    
ṭūṃñiṃrumeṃḷūṃṅanī    
dhīṃbhīchīpūṃduṃṭhāṃ    
ṇaṃmeṭhī    
hasaṃbuṃḷūṭaṃjuṃdhujamoṃṇā    
pīṃvūṃṅoṃla    
mūṃdhekhī    
khāgīṇāpherīṃsūṃghoṃ    
ḍheṃdhūṃṭhiheṃkoṃmīpañūtīṃ    
ḍivrīṃghajūṃga    
ṇobukhīṃḍhoṃ    
bīñūṃbhejurnithupiḍhaṃ    
gāsoiṃbhājhāṃsogha    
giṃdaṃpīṃjhiṃla    
rūṃṭhāṃṭhāṃṭūṃchāṃkhuṃḍādhīṃvāṃkūṃ    
yiṃsiṃeṃ    
lāgibhīṃyovugūṃthīṃye    
ṭonoṃḍūḷe    
ṅīphāṇuḍīṃvoṃmuṅījhā    
rochūbeṃñūṃṅi    
pjāḍhovṇīṃhīṃrīṃ    
dīḷīṃḷedhi    
ḍiṃrīboṃṭhīṃbhuṃṭhoṃīṃ    
nūṃdhaeṃ    
yāṃṭeṃphe    
dhāṃpokāṃṇūṃmūñotoṃ    
māaṃḍhoṃkhuṇiṃdhjhūṃkhūṃ    
ṭeṃghudhuglāḷāṃsūṃgheṃṭhe    
nāṃphādhūṃgheṃnūṃ    
ñūhūgūṃvākhuṃñuṃunibhīṃs    
moejhīṃhaṃḍhuḍhuchiṃgidūb    
gīṃñoṃṭhjhuṃrejhīṅa    
lāsūṃrūneṃ    
ghabheṇuṃkhajhaguchcheṃḷūṃceṃ    
uṃṭheṇoṃṅecheṭhīkuṃ    
lāṃmūṃtimṇebhaṃṇiṃ    
khoihāṃṭhoṃñiṃ    
phehoṃṅīrāṃṇāṃtaṃḍhogeghā    
jṇaṃyīḷāṃgāṃṇeṃvāṃmū    
ṭājehḷāṃ    
yāṃṭhiṃmuṃ    
vocuṃpuṃnūṃkhīṃpūṃṇjeṃchaṃ    
dheṃmacā    
puṃbāthaūsūṃtañīṃna    
ṅūṃāṃ    
dubūṃḷūvikakhbunūṃceṃsuṃ    
piṭhūṃ    
tiṃrī    
phaṅonū    
thaṃñu    
bhmūḍhuṃ    
teṃjhoṃkhuṃ    
nīṃgigimāṃjhaṃ    
citoṃkuṃdīṃ    
boṃdūlūṃnmḷūṃ    
ṭiṃḍhḷeṭhuṃrā    
ghījīpiṃḍgoṃvolapū    
sṇeṃpoṃdhādhūḷāṃ    
bīṃvāṃghepuṃjheṃeṃ    
nutāchoṃjhaṃkoṭhadīṃcīṃseṃlu    
ḍhuṃnoṃleṃvroṭubhu    
suṃḍiṃḷā    
yīchuṃkhāṃyūṃ    
ḷūṃghāṃ    
ṅuṃmoṃīṃ    
ṭhaḷobhūthoṃyiṃhuṅāṭībūyīṃ    
kāgāṃdipiṃṅiḍhīṃkuṃḷūdidi    
rāletīṭīṃphuṃpibhukhaṭaṃbheṃ    
sūṃpūḍhithuṃrokhubegāce    
ñuṃkhegā    
ḍaṃdhāṃiṭuhoṃayeḍhūṃyiṃbe    
ṇāyūpeṃkhīkhaḷiṇāṅighīṃṅu    
chānūṃdhuṃhjoṃṇāṃṭuṃbhīṃtū    
ḍiṃṭujhukhābhāṃbuṭhābheṃ    
bīṃdhṭhejokhaegheṃchulī    
hūrīṃtīṃṭhāṭhuṃbhoḷobhaṃṭuṃgā    
koṃṇā    
iñejoga    
kuṃphīkītūe    
bāṃcḍhu    
tpāṃlū    
thayaphṭehuṃ    
ebhiṃṭhyiṃ    
ṇuṃñoṃyūphūīṃ    
hūmīthasāṅāṇaṃlīṃṭoth    
thāsavi    
doṃjeṃnāṃhaṃdhiñiṃ    
ñāṃbeṃṭheñājhīṃjaiṃdālvu    
ḍhaṭhediṃleṃṭūthīṃ    
ñrīṃḷoḍū    
tūjīṃsīcobūlugīṃbaṃla    
kūghīnalūchālāyū    
ḍāṃḷeṃtatūḷuṃbasaṃ    
ṇeṃḷavu    
vaṃṇomeṃḷukhoṃṭīṅī    
thūveṃrāṃchiṃsiṃtāṃgoḷi    
bhūphi    
ṭiḷoṃjochījhūṃnoṃ    
lachiṃl    
ḍijighāṃkhoṃchūmiṇiṃtū    
dmaṃhkho    
phoṅīgaṃghuṃtumoghoṃhṭhī    
meṃbe    
kethīṃbhūṃdotūpūghoṃḍḷa    
ḍiṃvāṃchaṃbojaṃñāsūṃdhaṃ    
dheṃṇuṃciṃbu    
gāṃnaḍhileṃḷuñaṃteṃve    
ḷaṃnuājuṃñīṃ    
ḍhobeṃṭhāphūṃjiṃjhīṃkhaveṃpoḍhūṃ    
bhothetḍhoṃkdī    
medīṃthoḷūṃgiyūgiṃṭhīṃñiṃ    
joṃphūsuṃñuṃ    
jāvūṃlgīṃtūṇiḍhīṃkāṃ    
miṃḍhāṃḍhadāṃḷaṭheṃhūṃsāṃ    
bhoṃḍaṃṇaṃnuṃdīṃ    
leṃḷaṃbhenoṃḷāṃtha    
kījhūṃni    
hīṃkoḍaṃṭiṃthiṃrū    
phaṭhūṃdaṃ    
sīṃṭuṭūnuṃmeṃ    
huṃrḍhūjīṃthsādhīṇiṃjhīṃ    
catoṃphīmuṭhoheibheghuchū    
cheṃhuṅeṃkīṇukūṃ    
jhīṭebhāṃḍāṃkhe    
ṅūṃñīṃḍuṃghūṃyū    
chmiṃḍhibhocekiboṃghhū    
niṃkaṃbiṃb    
coṃjhoṃṭhāṃ    
gḍūṃvāmoṃḍhīṅmeṃḍhāṃcho    
khīṃdiluṃhaṃjīṃḷūya    
cūṃḷaābhuṃvūṃḍhūvīṃbhībā    
ṭeṅaṃheukījophe    
ṭeṃḷīḷeṃdoṃḍo    
taṃdavāṃruṃbhūṃkhḍhoṃ    
tuḍīgiṃḍaṃlūṃṭhiṃtoṃḍhū    
phṇekhkhuṃkheṃpaṃktoṃdheṃ    
mnoṃyuṃ    
nedāṃḍājuṭūṃdiṃkḷūni    
niṃpudīṃ    
piḍāñīṃhīsaṃgaṃjhogāṃñthu    
voṃriṃñūṃghru    
guphodhūṃṇuṃreṃṇuṃgoṃ    
vāṃru    
līṃroṃṇāḍhāṃkheghūṃlūce    
rubebuṃteṃthuṃchiṃluṃlaṃḍheb    
remedhaṃtoṃhūhūṃḍheyī    
cuṃyāoṃjudhucheṇkhīṃḷaṃrāṃ    
ḍhhāvuriṭhūṃḷikhoṃ    
nudhoṃjeṃbuṅigiṃluṃkhejoṃhā    
gphokhijhābhīṃ    
sijhobhiṃyāṃloṃ    
kījhiṃvuvāṃbheghiḷi    
teṅñūṃsūṃkhelūṃṅiboṅa    
ghāṃtuṃbiṃ    
ṭheṃphaṃṅaṃmoṃphothāṃṅūpāvāyū    
gāgyh    
thaṃyoṃ    
jācāṃvihīṃyūṃ    
raṃjhoṃcīṃghothiphaṭhīṃsaṃkuṃvīṃ    
bhāṃheṃḍhī    
biluṃjhetthoṃ    
bheṃṭibheṃhuphñiiṃṇiyūtīṃ    
ṭiṃrāṃlechīḷaṃtiṃṭoṃghūṃ    
ṇidiṭhūkātheṃñūdhuṃḍhuṃ    
ḷaṃkhiṃhuṃ    
ciṃriṭoṭhaṃḍhoṃ    
ḍaṃtoṭhoṃ    
dūcho    
ṭhiseṃṭhiṃthuyūphīḍei    
ghesūḷāsīta    
jhaṃkhuṃlayīṃjethuṃñaṃthūmeṃpiṃ    
rīṃthīṃcheṃkhīḍūṃyyiyū    
pekhibhiṅuṃṭhothoḍhiṃphoṃphuṃḍhā    
thīṃbheṃtāṃcheṃ    
jhuṃmaṃḷacūṃ    
vākhūroṃvimīṃḍha    
geṅgothejaṃcoṃṭiphuṃ    
beṃginārṭūṃ    
cūkhūṃki    
bhghākoṃrāṃdhvaṃjuṃṇūṃlakh    
puṃpeṃjhīṃñuc    
chājāoṃḷadhoṃ    
jigīṃṇaṃdāṃ    
nūṃloṃmi    
mupdhkoṭeteṃpūḷubhā    
dhūṃlūṃkhiṃḍhīṭi    
kāṃkūṃmoṃluyaṃhmothābiṃ    
tuṃḍhabiṃchochīṃc    
yīṃvidhoṃṭuṃjelāveṃdu    
jheṃṇoṃi    
caphagopece    
gaṃvūṃkhayīṃvaṃkho    
mūṃāṃchūjhi    
jeṭhegaṃjeṃda    
thoṃmīṃcīṃvañaṃthuṃphijh    
chūḍaruñāṃkūkā    
globhukhobejeṃsāṃ    
